species,wing_length,secondary,mass
Phoeniculus purpureus,139.4,109,73.2
Phoeniculus somaliensis,145,108.8,26.5
Rhinopomastus aterrimus,97.6,78.5,27.1
Rhinopomastus cyanomelas,108.4,84.5,27.1
Rhinopomastus minor,89.6,76.2,21.7
Upupa epops,142.3,111.5,66.9
Upupa marginata,149.2,121.2,66.9
Aegotheles affinis,135.7,95.6,60
Aegotheles albertisi,114,80,35.2
Aegotheles archboldi,116.5,79.5,30.6
Aegotheles bennettii,122.8,83,60
Aegotheles crinifrons,164.6,119.5,136
Aegotheles cristatus,135.8,88.8,42.8
Aegotheles insignis,165.2,115,78.5
Aegotheles savesi,163,129,52
Aegotheles tatei,145.8,105.6,52
Aegotheles wallacii,119,83.3,50.7
Aerodramus amelis,118.4,38.8,10.7
Aerodramus bartschi,88.7,35.1,7.4
Aerodramus brevirostris,122.9,42.8,13.4
Aerodramus ceramensis,105.6,30.7,13.4
Aerodramus elaphrus,113,34.2,10.7
Aerodramus francicus,109,35.3,8.9
Aerodramus fuciphagus,109.5,37,10.7
Aerodramus germani,116.5,35.1,10.7
Aerodramus hirundinaceus,115,35.5,10.1
Aerodramus infuscatus,109.1,32.4,13.4
Aerodramus inquietus,114.1,35.9,11
Aerodramus leucophaeus,118.6,43.2,13.4
Aerodramus maximus,129.2,41.6,17
Aerodramus mearnsi,109,35,11.3
Aerodramus nuditarsus,125.2,40.4,13.4
Aerodramus ocistus,118.6,43.2,13.4
Aerodramus orientalis,125.2,40.4,13.4
Aerodramus papuensis,132.5,39.2,19.9
Aerodramus pelewensis,107.7,33.9,13.4
Aerodramus salangana,113.5,37.8,11.3
Aerodramus sawtelli,116,37.9,8.6
Aerodramus sororum,109.1,32.4,21.5
Aerodramus spodiopygius,117,38.3,8
Aerodramus terraereginae,111.2,36.6,12
Aerodramus unicolor,113.4,36.2,11
Aerodramus vanikorensis,110,34.9,10.7
Aerodramus vulcanorum,120,40.1,13.4
Aerodramus whiteheadi,136,41.9,14
Aeronautes andecolus,140,41.5,17.6
Aeronautes montivagus,115.2,36.1,20.1
Aeronautes saxatalis,140.3,42.1,32.1
Apus acuticauda,174,53.9,39.4
Apus aequatorialis,207.4,58.2,92.8
Apus affinis,126.5,42.1,22.6
Apus alexandri,137.5,40.8,39.4
Apus apus,161.3,48.1,37.6
Apus balstoni,161.2,47.3,42.8
Apus barbatus,173.6,48.8,42.8
Apus batesi,123,43.1,22.1
Apus berliozi,170.2,51.2,38.2
Apus bradfieldi,176,51.8,42.4
Apus caffer,144.8,44.7,22.1
Apus cooki,173,52.5,39.4
Apus horus,149.9,45.3,27.5
Apus leuconyx,173,52.5,39.4
Apus melba,219.3,60.4,100.4
Apus niansae,154.8,45.7,32.5
Apus nipalensis,130,42.7,29.8
Apus pacificus,173,52.5,39.4
Apus pallidus,166.8,46.2,41.9
Apus salimalii,173,52.5,39.4
Apus unicolor,149.5,42.3,22.5
Chaetura andrei,111.3,34.4,17.1
Chaetura brachyura,118.5,38.8,18.3
Chaetura chapmani,122.9,43.1,23.8
Chaetura cinereiventris,104.4,34.4,13.9
Chaetura egregia,116.8,42.7,23.4
Chaetura fumosa,106.2,34.2,15.7
Chaetura martinica,108.2,33.2,12.5
Chaetura meridionalis,131.7,47.9,22.2
Chaetura pelagica,124.4,36.6,23.6
Chaetura spinicaudus,103.7,36.3,15.7
Chaetura vauxi,111.3,34.4,17.1
Collocalia affinis,93.7,30.7,5.9
Collocalia dodgei,99.5,30.8,6.3
Collocalia esculenta,99.5,30.8,6.3
Collocalia isonota,93.7,30.7,5.9
Collocalia linchi,93.7,30.7,5.9
Collocalia marginata,93.7,30.7,5.9
Collocalia natalis,93.7,30.7,5.9
Collocalia neglecta,93.7,30.7,5.9
Collocalia sumbawae,93.7,30.7,5.9
Collocalia troglodytes,92.8,29.1,5.4
Collocalia uropygialis,93.7,30.7,5.9
Cypseloides cherriei,124.8,40.7,22.1
Cypseloides cryptus,137.2,44.1,34.5
Cypseloides fumigatus,145.2,44,42
Cypseloides lemosi,150.2,41.4,28.1
Cypseloides niger,149.4,39.3,39.7
Cypseloides rothschildi,153.2,62.6,42
Cypseloides senex,168.8,65,82.3
Cypseloides storeri,137.2,44.1,39.5
